user_input,reference_contexts,reference,synthesizer_name
국내 현황 진단에 대한 내용은 무엇인가요?,['순    서   Ⅰ. 추진 배경 1 Ⅱ. AI 일상화 시대의 본격 개막4 Ⅲ. 국내 현황 진단6 Ⅳ. 비전 및 중점 추진과제 9 Ⅴ. 추진과제 10  1. AI로 국민 일상을 풍요롭게 하겠습니다10  2. AI 내재화로 산업･일터를 혁신하겠습니다15  3. AI를 가장 잘 사용하는 똑똑한 정부를 만들겠습니다20  4. AI 일상화 기반을 선제적으로 조성하겠습니다24 Ⅵ. 추진체계 및 계획 27'],"국내 현황 진단은 AI 일상화 시대의 본격 개막과 관련된 내용을 다루며, AI 기술이 국민의 일상과 산업에 미치는 영향을 평가하는 부분입니다.",single_hop_specific_query_synthesizer
챗GPT 활용 일상생활 응용서비스의 출시 사례는 무엇인가요?,"['-i-\n전국민 AI 일상화 실행계획(안) (요약)Ⅰ추진 배경□새정부 출범이후 ‘뉴욕구상(’22.9)’,‘대한민국 디지털 전략(’22.9)’을통해 국민과 함께 세계의 모범이 되는 디지털 강국실현 추진   * ‘파리 이니셔티브(’23.6)’를 통해 새로운 디지털 질서･규범 정립 본격화○디지털 핵심인 AI경쟁력 강화를 위해 ‘AI일상화 및 산업 고도화계획(’23.1)‘,’초거대AI경쟁력 강화 방안(‘23.4)’등 정책적 노력 지속   * ‘캐나다 AI 석학과의 대화(’22.9)’를 통해 우리나라 AI가 나아가야 할 방향 모색□국민과 AI혜택을 공유하고 AI를 가장 잘 활용하는 디지털 모범국가로도약할 시기⇨범부처 역량을 결집하여 국가 전방위적 AI확산추진Ⅱ AI 일상화 시대 개막 ▶ 초거대 AI등장으로 누구나 쉽게 AI를 활용하는 AI일상화가 본격화되고,AI를 얼마나 잘 활용하느냐가 국가 AI경쟁력 좌우□우리의 일상생활 곳곳에서 AI가 부지불식간 깊숙이 침투･\n활용,AI를 누구나 쉽게 체감할 수 있는 AI대중화 시대에 본격 진입   * (예시) 스마트폰의 AI비서 및 사진보정, OTT 플랫폼의 개인 취향분석 콘텐츠 추천 등○산업현장･\n일터에서도 AI가 노동의 양을 줄이고,질은 높이는 생산성·효율성 제고*의 원천으로 빠르게 확산 중   * (예) 짧은 보고서 작성에 챗GPT 활용 시 약 37% 작업시간 단축(MIT 연구결과, ‘23.4)□초거대 AI플랫폼,API기반 응용서비스 등을 통해일상생활 및 의료･\n금융 등 전문분야 新서비스가 출시되면서 AI일상화 가속화 < 챗GPT 활용 일상생활 응용서비스 출시 사례 >\n레시 피추천→식 자재 배송까지 원스탑서비스\n여행지 및 항공편, 호텔 등 최적추천\n수천 개의 온라인 상점에서 가격을 검색·비교 인 스 타 카 트익 스 피 디 아클라나 쇼핑']","챗GPT 활용 일상생활 응용서비스의 출시 사례로는 레시피 추천에서 식자재 배송까지의 원스탑 서비스, 여행지 및 항공편, 호텔 등의 최적 추천, 그리고 수천 개의 온라인 상점에서 가격을 검색하고 비교하는 서비스가 있습니다.",single_hop_specific_query_synthesizer
산업현장에서 AI가 어떻게 적용되고 있는지에 대한 구체적인 사례는 무엇인가요?,"['-ii-\nⅢ 우리의 현주소□(국민일상)국민들은 AI에 대한 관심도(72.2%)와 일상 속 편리함 제공(86.1%)등 AI확산에 대한 긍정적 기대가 높은 상황이며,○주거·편의(24.6%),교육·학습(19.8%)등 국민생활과 밀접한 분야에서혁신적 AI제품･\n서비스 확산을 기대   * 일반국민(18~60세) 1,000명 대상 온라인 패널 조사(한국지능정보사회진흥원, ’23.6)□(산업현장)제조,서비스업 등 기존 산업에 AI를 적용하고있으며,품질 개선,생산성 향상,비용 절감 등 가시적 성과*창출   * AI 도입으로 생산성 38.5% 향상, 품질 45.5% 개선 등 경제적 효과가 발생(NIPA AI바우처 과제편람, ‘22), 국내 기업의 AI 도입률은 14.7% 수준(’21년, KISDI)□(공공행정)각 부처 소관의 행정업무,공공서비스 등에 AI를 도입하고 있으며,데이터･\nAI중심의 ‘디지털플랫폼정부’실현 추진   * 우리나라의 ‘정부 AI 전략’ 평가는 ‘20년 31위에서 ’23년 6위로 상승(英토터스미디어)  ⇨AI를 국민의 삶 전반에 전방위적으로 확산하고,디지털 모범국가의 탄탄한 기초로서 ‘전국민 AI일상화실행계획’수립Ⅳ비전 및 추진전략비전·목표전 세계에서 AI를 가장 잘 활용하는 대한민국으로 도약민생현안 해결 및 국민 삶의 질 제고\n대규모 AI 수요창출 및탄탄한 AI 산업 경쟁력 제고추진전략']","산업현장에서 AI는 제조업과 서비스업 등 기존 산업에 적용되고 있으며, 품질 개선, 생산성 향상, 비용 절감 등 가시적 성과를 창출하고 있습니다. 예를 들어, AI 도입으로 생산성이 38.5% 향상되고 품질이 45.5% 개선되는 경제적 효과가 발생하고 있습니다.",single_hop_specific_query_synthesizer
보육･교육에 대한 AI의 역할은 무엇인가요?,"['-iii-\nⅤ주요 내용 전략1. AI로 국민 일상을 풍요롭게 하겠습니다.□(복지) 독거노인,보호아동,장애인 등 사회적 약자 배려･\n돌봄대상내용부처독거노인전국 보건소(261개소)를 통해 AI 스피커 등을 활용한 건강관리･돌봄 복지부 등보호아동전국 보육원(299개소) 아동 대상 학습역량･문해력 향상, 심리안정 지원과기정통부장애인청각장애인 스마트글라스 제공, 장애인 국가대표 운동코칭 지원고용부 등○공공요금 체납 등 위기정보를 AI가 분석하여 위기가구를 찾아내고,복지수요 파악을 위한 AI초기상담 서비스체계 구축(복지부)□ (의료･보건)중증질환･\n소아희귀질환･\n자폐증 진단･\n관리를 위한 AI를개발하고,공공병원(’24년 8개)등 대상 진료보조 AI확산(과기정통･\n복지부)○감염병 확산예측 AI모델개발,감염병매개모기 감시장비 운영(질병청)□ (보육･교육)AI기반 아이돌봄플랫폼 및 급식관리 시스템을 구축(여가부,식약처)하고,초중고 학생 대상AI디지털교과서 단계적 도입(교육부)□ (문화･예술)박물관･\n미술관에 AI큐레이터 로봇을 배치하고,디지털아이돌,디에이징 콘텐츠,뮤지션 복원등 콘텐츠 제작 지원(문체부)○독립운동가･\n호국영웅 등 AI휴먼을 역사기념관에 보급(보훈부) 전략2. AI 내재화로 산업･일터를 혁신하겠습니다. □(전문직종)법률,의료 등 민간 전문가의 업무를 보조하고,서비스 질을향상할 수 있는 초거대 AI플래그십 5대 프로젝트추진(과기정통부)□(농어민)작물재배,에너지･\n냉난방 제어 등 온실･\n축사 관리 AI를 개발하고,AI기반 병해충 진단 및 처방정보서비스 제공(농진청)○해안거점에 종자입식,출하 등을 AI로 관리하는 양식시스템구축(해수부)    * 스마트양식 클러스터 준공: (‘23) 부산 → (‘24) 신안, 강원 → (‘25) 포항, 고성 → (‘26) 제주']","AI는 보육･교육 분야에서 아이돌봄 플랫폼 및 급식 관리 시스템을 구축하고, 초중고 학생을 대상으로 AI 디지털 교과서를 단계적으로 도입하는 역할을 하고 있습니다.",single_hop_specific_query_synthesizer
지자체 CCTV관제를 AI기반의 지능형관제로 전환하는 계획은 무엇인가요?,"['-iv-\n□ (소상공인) 소상공인(’24년 5,500개 점포)을 대상으로 서빙로봇,안면인식 출입장치등 AI융합 디지털기기 도입 지원(중기부)○미용실,피트니스 등 서비스업 매장(‘24년 200개)을 대상으로 두피진단,체형분석 등 AI제품･\n서비스 도입 지원(과기정통부)□ (기업체) 수요기업(’24년 70개社)에AI기업이 보유한 제품설계,설비진단,불량검출 등 AI솔루션을 최적화･\n도입 지원(과기정통부)○로봇,물류,제약,스마트홈등 기존산업 혁신을 위한 AI개발･\n실증주요분야내용부처로봇AI･5G 기반의 배달･재활 로봇 실증 지원 산업부물류AI 기반의 화물적치, 재고관리 등 주요항만 스마트 공동물류센터 구축해수부 등철강전기로 제강공정 효율화 및 에너지 절감 등을 위한 AI 개발산업부제약항체 설계 플랫폼 구축, 난치병 치료 후보물질 발굴 지원과기정통부 스마트홈AI 제품･기기 적용을 위한 스마트홈 시범단지 조성 검토과기정통부 전략3. AI를 가장 잘 사용하는 똑똑한 정부를 만들겠습니다.□ (국민안전) 화재･\n홍수 등 재난사고에 대한 실시간 감시･\n대응강화분야내용부처산불기초 지자체(’25년50개) 대상 실시간 산불감시 AI 시스템 도입산림청화학화재유출된 화학물질을 식별하는 AI 개발 및 화학재난방제센터 실증과 기 정 통 부  등홍수전국 223개 지점에 AI 홍수예보 플랫폼 구축･운영,지자체(’24년 2개)를 대상 도시침수 스마트 대응 시스템 실증환경부, 과기정통부 ○(관제)사람 육안에 의존하고 있는 지자체 CCTV관제를 AI기반의 지능형관제(’22년32%→’27년 100%)로 전환(행안부)○(시설관리)주요 산업·생활시설*의 사고(산재,교통·인파·붕괴사고 등)발생을예측·대응하는 AI안전관리 플랫폼 구축･\n실증(과기정통부)    * (충북) 소부장 산단, (충남) 도로·축제현장 (대전) 노후시설물･다중이용시설, (세종) 교량○(신고대응)국민의 119신고 등 급증 시,위험상황의 유형･\n긴급성 분류및 접수･\n대응을 지원하는 119신고대응 AI플랫폼개발(소방청)']",지자체 CCTV관제를 AI기반의 지능형관제로 전환하는 계획은 2022년 32%에서 2027년 100%로 전환하는 것을 목표로 하고 있습니다.,single_hop_specific_query_synthesizer
AI로 국민 일상을 풍요롭게 하겠다는 것은 무슨 뜻인가요?,['순    서   Ⅰ. 추진 배경 1 Ⅱ. AI 일상화 시대의 본격 개막4 Ⅲ. 국내 현황 진단6 Ⅳ. 비전 및 중점 추진과제 9 Ⅴ. 추진과제 10  1. AI로 국민 일상을 풍요롭게 하겠습니다10  2. AI 내재화로 산업･일터를 혁신하겠습니다15  3. AI를 가장 잘 사용하는 똑똑한 정부를 만들겠습니다20  4. AI 일상화 기반을 선제적으로 조성하겠습니다24 Ⅵ. 추진체계 및 계획 27'],AI로 국민 일상을 풍요롭게 하겠다는 것은 AI를 활용하여 국민의 생활을 개선하고 풍요롭게 만드는 것을 목표로 하는 정책입니다.,single_hop_specific_query_synthesizer
디지털 강국이 뭐야?,"['-i-\n전국민 AI 일상화 실행계획(안) (요약)Ⅰ추진 배경□새정부 출범이후 ‘뉴욕구상(’22.9)’,‘대한민국 디지털 전략(’22.9)’을통해 국민과 함께 세계의 모범이 되는 디지털 강국실현 추진   * ‘파리 이니셔티브(’23.6)’를 통해 새로운 디지털 질서･규범 정립 본격화○디지털 핵심인 AI경쟁력 강화를 위해 ‘AI일상화 및 산업 고도화계획(’23.1)‘,’초거대AI경쟁력 강화 방안(‘23.4)’등 정책적 노력 지속   * ‘캐나다 AI 석학과의 대화(’22.9)’를 통해 우리나라 AI가 나아가야 할 방향 모색□국민과 AI혜택을 공유하고 AI를 가장 잘 활용하는 디지털 모범국가로도약할 시기⇨범부처 역량을 결집하여 국가 전방위적 AI확산추진Ⅱ AI 일상화 시대 개막 ▶ 초거대 AI등장으로 누구나 쉽게 AI를 활용하는 AI일상화가 본격화되고,AI를 얼마나 잘 활용하느냐가 국가 AI경쟁력 좌우□우리의 일상생활 곳곳에서 AI가 부지불식간 깊숙이 침투･\n활용,AI를 누구나 쉽게 체감할 수 있는 AI대중화 시대에 본격 진입   * (예시) 스마트폰의 AI비서 및 사진보정, OTT 플랫폼의 개인 취향분석 콘텐츠 추천 등○산업현장･\n일터에서도 AI가 노동의 양을 줄이고,질은 높이는 생산성·효율성 제고*의 원천으로 빠르게 확산 중   * (예) 짧은 보고서 작성에 챗GPT 활용 시 약 37% 작업시간 단축(MIT 연구결과, ‘23.4)□초거대 AI플랫폼,API기반 응용서비스 등을 통해일상생활 및 의료･\n금융 등 전문분야 新서비스가 출시되면서 AI일상화 가속화 < 챗GPT 활용 일상생활 응용서비스 출시 사례 >\n레시 피추천→식 자재 배송까지 원스탑서비스\n여행지 및 항공편, 호텔 등 최적추천\n수천 개의 온라인 상점에서 가격을 검색·비교 인 스 타 카 트익 스 피 디 아클라나 쇼핑']","디지털 강국은 새정부 출범 이후 국민과 함께 세계의 모범이 되는 디지털 강국 실현을 추진하는 것을 의미하며, AI 경쟁력 강화를 위해 다양한 정책적 노력을 지속하고 있습니다.",single_hop_specific_query_synthesizer
디지털플랫폼정부가 뭐야?,"['-ii-\nⅢ 우리의 현주소□(국민일상)국민들은 AI에 대한 관심도(72.2%)와 일상 속 편리함 제공(86.1%)등 AI확산에 대한 긍정적 기대가 높은 상황이며,○주거·편의(24.6%),교육·학습(19.8%)등 국민생활과 밀접한 분야에서혁신적 AI제품･\n서비스 확산을 기대   * 일반국민(18~60세) 1,000명 대상 온라인 패널 조사(한국지능정보사회진흥원, ’23.6)□(산업현장)제조,서비스업 등 기존 산업에 AI를 적용하고있으며,품질 개선,생산성 향상,비용 절감 등 가시적 성과*창출   * AI 도입으로 생산성 38.5% 향상, 품질 45.5% 개선 등 경제적 효과가 발생(NIPA AI바우처 과제편람, ‘22), 국내 기업의 AI 도입률은 14.7% 수준(’21년, KISDI)□(공공행정)각 부처 소관의 행정업무,공공서비스 등에 AI를 도입하고 있으며,데이터･\nAI중심의 ‘디지털플랫폼정부’실현 추진   * 우리나라의 ‘정부 AI 전략’ 평가는 ‘20년 31위에서 ’23년 6위로 상승(英토터스미디어)  ⇨AI를 국민의 삶 전반에 전방위적으로 확산하고,디지털 모범국가의 탄탄한 기초로서 ‘전국민 AI일상화실행계획’수립Ⅳ비전 및 추진전략비전·목표전 세계에서 AI를 가장 잘 활용하는 대한민국으로 도약민생현안 해결 및 국민 삶의 질 제고\n대규모 AI 수요창출 및탄탄한 AI 산업 경쟁력 제고추진전략']",디지털플랫폼정부는 각 부처 소관의 행정업무와 공공서비스에 AI를 도입하여 데이터와 AI 중심의 정부를 실현하는 것을 목표로 하고 있습니다.,single_hop_specific_query_synthesizer
AI기반 아이돌봄플랫폼이 사회적 약자에게 어떤 도움을 줄 수 있나요?,"['-iii-\nⅤ주요 내용 전략1. AI로 국민 일상을 풍요롭게 하겠습니다.□(복지) 독거노인,보호아동,장애인 등 사회적 약자 배려･\n돌봄대상내용부처독거노인전국 보건소(261개소)를 통해 AI 스피커 등을 활용한 건강관리･돌봄 복지부 등보호아동전국 보육원(299개소) 아동 대상 학습역량･문해력 향상, 심리안정 지원과기정통부장애인청각장애인 스마트글라스 제공, 장애인 국가대표 운동코칭 지원고용부 등○공공요금 체납 등 위기정보를 AI가 분석하여 위기가구를 찾아내고,복지수요 파악을 위한 AI초기상담 서비스체계 구축(복지부)□ (의료･보건)중증질환･\n소아희귀질환･\n자폐증 진단･\n관리를 위한 AI를개발하고,공공병원(’24년 8개)등 대상 진료보조 AI확산(과기정통･\n복지부)○감염병 확산예측 AI모델개발,감염병매개모기 감시장비 운영(질병청)□ (보육･교육)AI기반 아이돌봄플랫폼 및 급식관리 시스템을 구축(여가부,식약처)하고,초중고 학생 대상AI디지털교과서 단계적 도입(교육부)□ (문화･예술)박물관･\n미술관에 AI큐레이터 로봇을 배치하고,디지털아이돌,디에이징 콘텐츠,뮤지션 복원등 콘텐츠 제작 지원(문체부)○독립운동가･\n호국영웅 등 AI휴먼을 역사기념관에 보급(보훈부) 전략2. AI 내재화로 산업･일터를 혁신하겠습니다. □(전문직종)법률,의료 등 민간 전문가의 업무를 보조하고,서비스 질을향상할 수 있는 초거대 AI플래그십 5대 프로젝트추진(과기정통부)□(농어민)작물재배,에너지･\n냉난방 제어 등 온실･\n축사 관리 AI를 개발하고,AI기반 병해충 진단 및 처방정보서비스 제공(농진청)○해안거점에 종자입식,출하 등을 AI로 관리하는 양식시스템구축(해수부)    * 스마트양식 클러스터 준공: (‘23) 부산 → (‘24) 신안, 강원 → (‘25) 포항, 고성 → (‘26) 제주']","AI기반 아이돌봄플랫폼은 독거노인, 보호아동, 장애인 등 사회적 약자를 배려하여 건강관리 및 돌봄 서비스를 제공하는 데 도움을 줄 수 있습니다. 이 플랫폼은 아동의 학습역량 및 문해력 향상, 심리안정 지원을 통해 보호아동을 지원하며, 장애인을 위한 스마트글라스 제공과 같은 기술적 지원도 포함됩니다.",single_hop_specific_query_synthesizer
AI융합 디지털기기 뭐 지원하나요?,"['-iv-\n□ (소상공인) 소상공인(’24년 5,500개 점포)을 대상으로 서빙로봇,안면인식 출입장치등 AI융합 디지털기기 도입 지원(중기부)○미용실,피트니스 등 서비스업 매장(‘24년 200개)을 대상으로 두피진단,체형분석 등 AI제품･\n서비스 도입 지원(과기정통부)□ (기업체) 수요기업(’24년 70개社)에AI기업이 보유한 제품설계,설비진단,불량검출 등 AI솔루션을 최적화･\n도입 지원(과기정통부)○로봇,물류,제약,스마트홈등 기존산업 혁신을 위한 AI개발･\n실증주요분야내용부처로봇AI･5G 기반의 배달･재활 로봇 실증 지원 산업부물류AI 기반의 화물적치, 재고관리 등 주요항만 스마트 공동물류센터 구축해수부 등철강전기로 제강공정 효율화 및 에너지 절감 등을 위한 AI 개발산업부제약항체 설계 플랫폼 구축, 난치병 치료 후보물질 발굴 지원과기정통부 스마트홈AI 제품･기기 적용을 위한 스마트홈 시범단지 조성 검토과기정통부 전략3. AI를 가장 잘 사용하는 똑똑한 정부를 만들겠습니다.□ (국민안전) 화재･\n홍수 등 재난사고에 대한 실시간 감시･\n대응강화분야내용부처산불기초 지자체(’25년50개) 대상 실시간 산불감시 AI 시스템 도입산림청화학화재유출된 화학물질을 식별하는 AI 개발 및 화학재난방제센터 실증과 기 정 통 부  등홍수전국 223개 지점에 AI 홍수예보 플랫폼 구축･운영,지자체(’24년 2개)를 대상 도시침수 스마트 대응 시스템 실증환경부, 과기정통부 ○(관제)사람 육안에 의존하고 있는 지자체 CCTV관제를 AI기반의 지능형관제(’22년32%→’27년 100%)로 전환(행안부)○(시설관리)주요 산업·생활시설*의 사고(산재,교통·인파·붕괴사고 등)발생을예측·대응하는 AI안전관리 플랫폼 구축･\n실증(과기정통부)    * (충북) 소부장 산단, (충남) 도로·축제현장 (대전) 노후시설물･다중이용시설, (세종) 교량○(신고대응)국민의 119신고 등 급증 시,위험상황의 유형･\n긴급성 분류및 접수･\n대응을 지원하는 119신고대응 AI플랫폼개발(소방청)']","AI융합 디지털기기는 소상공인과 기업체를 대상으로 지원됩니다. 소상공인에게는 서빙로봇과 안면인식 출입장치 등의 도입이 지원되며, 서비스업 매장에는 두피진단과 체형분석 등의 AI 제품 및 서비스 도입이 지원됩니다. 기업체에는 AI 솔루션을 최적화하여 도입하는 지원이 제공됩니다.",single_hop_specific_query_synthesizer
